"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"reannotate_1773","tricarboxylic acid cycle","GO:0006099","0.0004950836468541273","3.3053214186459097","312","1108","14","129949","I6Y9Q3,O06582,O53166,P9WIS7,P9WK17,O53368,P9WGC5,P9WGC7,P9WJP5,P9WK13,P9WN89,P9WNX7,P9WNX9,P9WPD5"
"reannotate_1773","ATP metabolic process","GO:0046034","0.0005142327763118607","3.2888402456283488","313","1108","14","129949","P9WID3,P9WID7,P9WN69,P9WN83,P9WNL1,Q79FW5,P9WPU7,P9WQA3,P9WID1,P9WPS1,P9WPU5,P9WPU9,P9WPV1,P9WPV5"
"reannotate_1773","Mo-molybdopterin cofactor biosynthetic process","GO:0006777","0.000533016256085737","3.2732595455312627","226","1108","12","129949","P9WJR9,P9WJS3,L7N6B4,P9WJQ5,P9WJQ7,P9WJQ9,P9WJR1,P9WJR3,P9WJR5,P9WJR7,P9WJS1,P9WNF1"
"reannotate_1773","Mo-molybdopterin cofactor metabolic process","GO:0019720","0.000533016256085737","3.2732595455312627","226","1108","12","129949","P9WJR9,P9WJS3,L7N6B4,P9WJQ5,P9WJQ7,P9WJQ9,P9WJR1,P9WJR3,P9WJR5,P9WJR7,P9WJS1,P9WNF1"
"reannotate_1773","response to oxygen-containing compound","GO:1901700","0.0005551584311423773","3.255583060206937","686","1108","21","129949","P71875,P9WF43,P9WGE9,P9WGG7,P9WGH1,P9WGI1,P9WIE5,P9WIP7,P9WJM7,P9WJQ3,P9WKC3,P9WKC7,P9WKC9,P9WMK1,P9WNW7,P9WQN5,Q6MX01,L0TCG5,O53590,P9WGG5,P9WKC5"
"reannotate_1773","iron ion binding","GO:0005506","0.0005663847933245781","3.2468884153886965","629","1108","20","129949","I6XD65,P71875,P9WH69,P9WMH1,P9WMK7,P9WNE5,P9WNW7,P9WPL5,P9WPP1,P9WPP3,P9WPP7,P9WPP9,P9WPN5,P9WPQ7,P9WJG9,P9WJH1,P9WP35,P9WPL1,P9WPL3,P9WPN7"
"reannotate_1773","branched-chain amino acid metabolic process","GO:0009081","0.0005880633292719461","3.2305759016919735","519","1108","18","129949","P9WG39,P9WG41,P9WKJ5,P9WKJ7,P9WMK5,P9WNX5,P9WQ75,P9WQB3,O06334,O53554,P9WIS1,P9WKK9,P9WPQ3,I6YDK7,O06335,P9WG95,P9WK95,P9WQF5"
"reannotate_1773","carbon-carbon lyase activity","GO:0016830","0.0006091779745653397","3.2152558074004367","632","1108","20","129949","P9WFX1,P9WIL3,P9WIU7,P9WMK5,P9WNC5,P9WNP5,O06334,P9WJS3,P9WQA3,O07718,P9WFE1,P9WFX7,P9WG79,P9WGY3,P9WHL9,P9WHQ5,P9WJS1,P9WK25,O07717,P9WIU3"
"reannotate_1773","DNA nuclease activity","GO:0004536","0.0006412238584983251","3.192990326895871","230","1108","12","129949","P9WHJ3,P9WMQ3,P9WQK7,P9WFC7,P9WHJ1,P9WF31,P9WFC5,P9WGV9,P9WIQ5,P9WQ13,O08343,P9WF29"
"reannotate_1773","negative regulation of translation","GO:0017148","0.0006458452735537473","3.1898715143430123","87","1108","8","129949","P9WIH9,P9WFB9,P0CL62,P71623,P9WF49,P9WFA5,P9WHE1,O05886"
"reannotate_1773","nucleoside triphosphate biosynthetic process","GO:0009142","0.0007347228465178073","3.133876455374969","233","1108","12","129949","P9WFR9,P9WG57,P9WHK7,P9WJH7,P9WKE1,P9WHK5,P9WPU7,P9WPS1,P9WPU5,P9WPU9,P9WPV1,P9WPV5"
"reannotate_1773","cellular component assembly","GO:0022607","0.000749491188768149","3.125233468475295","1629","1108","35","129949","I6X8D2,O33289,O53512,O53580,O53585,O53901,P71875,P96202,P96285,P9WI75,P9WIN5,P9WJQ1,P9WK65,P9WMK1,P9WN03,P9WN39,P9WN95,P9WPB5,P9WPF3,P9WQ43,P9WQ59,P9WQD5,P9WQE1,P9WQE3,P9WQE5,P9WQE9,P9WQN9,O53578,P9WG23,P9WKX3,P9WPF5,I6X486,P71725,P9WNA1,P9WG63"
"reannotate_1773","protein-macromolecule adaptor activity","GO:0030674","0.0007666449422835545","3.115405725110831","22","1108","5","129949","P9WGX7,P9WJ67,P9WJ69,P9WQN5,P9WGX5"
"reannotate_1773","disulfide oxidoreductase activity","GO:0015036","0.0007731063633567639","3.1117607520827435","62","1108","7","129949","P9WF41,P9WF43,P9WG35,P9WG67,P9WHH9,P9WIS7,P9WQB5"
"reannotate_1773","energy derivation by oxidation of organic compounds","GO:0015980","0.0007731759642805501","3.1117216553452125","324","1108","14","129949","P9WIV9,P9WJQ1,P9WJQ3,P9WN91,P9WP37,P9WP69,P9WIV7,P9WIW1,P9WIW5,P9WIW9,P9WIX3,P9WJK7,P9WN89,P9WP71"
"reannotate_1773","host cell surface binding","GO:0046812","0.000779210462479236","3.108345224806938","10","1108","4","129949","P9WIF5,P9WK61,P9WNK5,P9WNK7"
"reannotate_1773","cellular response to oxygen levels","GO:0071453","0.000779210462479236","3.108345224806938","10","1108","4","129949","P71707,P9WIP7,P9WJQ3,P9WMK1"
"reannotate_1773","hexose metabolic process","GO:0019318","0.0009480812379688944","3.023154447799061","283","1108","13","129949","P9WH13,P9WKD7,P9WN21,P9WN69,P9WN83,Q6MWZ7,O53637,P9WID1,P9WN63,P9WN67,P9WN71,P9WN73,P9WGT5"
"reannotate_1773","tRNA aminoacylation for protein translation","GO:0006418","0.000992956249721229","3.003069886371923","380","1108","15","129949","P9WFS9,P9WFV3,P9WJM9,P9WFT1,P9WFT3,P9WFT5,P9WFT7,P9WFT9,P9WFU1,P9WFU3,P9WFV1,P9WFW3,P9WFW7,P9WFV5,P9WFW5"
"reannotate_1773","cellular modified amino acid metabolic process","GO:0006575","0.001050665294914764","2.9785356129180114","486","1108","17","129949","I6Y0R5,P9WGI7,P9WGI9,P9WIL3,P9WIL5,P9WIL7,P9WNC5,P9WND1,O33259,P9WHM5,P9WG81,P9WN47,P9WN57,P9WNC7,P9WNC9,P9WPW7,O69668"
"reannotate_1773","oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","GO:0016668","0.0010910772650263708","2.9621444936037418","161","1108","10","129949","P9WF39,P9WF41,P9WF43,P9WHH3,P9WHH9,P9WIS7,P9WQB5,P9WQB7,Q6MX01,P9WHH5"
"reannotate_1773","carboxylesterase activity","GO:0106435","0.0012161651493810537","2.91500744595571","11","1108","4","129949","L0TC47,O06350,P95125,P9WK87"
"reannotate_1773","monosaccharide metabolic process","GO:0005996","0.0012252955345517826","2.9117591492216803","337","1108","14","129949","P9WH13,P9WKD7,P9WN21,P9WN69,P9WN83,Q6MWZ7,O53637,P9WI51,P9WID1,P9WN63,P9WN67,P9WN71,P9WN73,P9WGT5"
"reannotate_1773","DIM/DIP cell wall layer assembly","GO:0071770","0.0012934846880412346","2.8882387079900034","440","1108","16","129949","I6X8D2,O53901,P96202,P96285,P9WIN5,P9WK65,P9WPF3,P9WQ43,P9WQ59,P9WQD5,P9WQE1,P9WQE3,P9WQE5,P9WQE9,P9WG23,P9WPF5"
"reannotate_1773","response to iron ion","GO:0010039","0.0012983178176078118","2.8866189827759627","43","1108","6","129949","O53166,P9WIP7,P9WMK1,P9WHW3,P9WN87,P9WNN1"
"reannotate_1773","nucleobase-containing compound catabolic process","GO:0034655","0.0013316813374072314","2.875599686549069","441","1108","16","129949","O33348,P9WF09,P9WFR9,P9WIH9,P9WII3,O50461,P71650,P95004,P9WH05,P9WII5,P0CL62,P95272,P9WF31,P9WH01,P9WII1,P9WF29"
