Sample	Bacillariophyta	Bolidophyceae	Chrysophyceae	Dictyochophyceae	Pelagophyceae	Phaeophyceae	Pinguiophyceae	Raphidophyceae	Strameno_all	Photo_all	depth_level	station	template	fraction	ntags	Month	Latitude	Longitude	sampling_depth	date	chloro_hplc	tara_NO2	tara_PO4	NO2NO3	tara_SI	tara_temp	tara_salinity
TV9_293	3423	6	2901	9490	104	84	46	0	16054	34658	DCM	30	WGA/D	5-20	4136731	dec	33.91795	32.89436667	69.0713	15-Dec-2009 16:17:39	0.141478	0.007	0.000	0.019	0.666	17.936	39.214
TV9_294	404	3	47	130	17	2	19	0	622	1450	SUR	30	WGA/D	5-20	3573195	dec	33.91795	32.89436667	3	15-Dec-2009 12:08:27	0.068507	0.000	0.000	0.046	0.818	20.444	39.423
TV9_13	1461	513	13553	17108	1615	1743	0	8	36001	77946	DCM	30	D	0.8-5	1482612	dec	33.91795	32.89436667	69.0713	15-Dec-2009 16:17:39	0.141478	0.007	0.000	0.019	0.666	17.936	39.214
TV9_10	588	398	13119	13217	1174	1652	0	21	30169	60525	SUR	30	D	0.8-5	622948	dec	33.91795	32.89436667	3	15-Dec-2009 12:08:27	0.068507	0.000	0.000	0.046	0.818	20.444	39.423
TV9_9	141	0	8	7	4	0	2	0	162	303	SUR	30	D	180-2000	1480290	dec	33.91795	32.89436667	3	15-Dec-2009 12:08:27	0.068507	0.000	0.000	0.046	0.818	20.444	39.423
TV9_14	953	17	4	13	21	4	1	0	1013	2412	DCM	30	WGA/D	20-180	1970544	dec	33.91795	32.89436667	69.0713	15-Dec-2009 16:17:39	0.141478	0.007	0.000	0.019	0.666	17.936	39.214
TV9_11	2468	1	58	40	11	0	3	0	2581	3369	SUR	30	D	20-180	1915640	dec	33.91795	32.89436667	3	15-Dec-2009 12:08:27	0.068507	0.000	0.000	0.046	0.818	20.444	39.423
TV9_199	222	0	18	33	69	1	1	0	344	881	SUR	31	D	180-2000	1702629	jan	27.16	34.835	3	09-Jan-2010 08:43:51	0.027811	0.017	0.033	0.025	0.764	25.037	39.923
TV9_201	1680	0	2	7	43	0	4	0	1736	2872	SUR	31	D	20-180	1984736	jan	27.16	34.835	3	09-Jan-2010 08:43:51	0.027811	0.017	0.033	0.025	0.764	25.037	39.923
TV9_251	1284	3	422	122	14	8	11	0	1864	2825	DCM	32	WGA/D	5-20	1825857	jan	23.36	37.21833333	80	11-Jan-2010 14:27:54	0.214328	0.010	0.025	0.012	0.850	26.144	40.181
