name	taxonomy_id	taxonomy_lvl	CD_7_long.contigs.assembly.bracken_G.txt_num	CD_7_long.contigs.assembly.bracken_G.txt_frac	CD_7_short.contigs.assembly.bracken_G.txt_num	CD_7_short.contigs.assembly.bracken_G.txt_frac	CD_7_short.scaffolds.assembly.bracken_G.txt_num	CD_7_short.scaffolds.assembly.bracken_G.txt_frac	TD_31_short.contigs.assembly.bracken_G.txt_num	TD_31_short.contigs.assembly.bracken_G.txt_frac	TD_31_short.scaffolds.assembly.bracken_G.txt_num	TD_31_short.scaffolds.assembly.bracken_G.txt_frac	TD_92_long.contigs.assembly.bracken_G.txt_num	TD_92_long.contigs.assembly.bracken_G.txt_frac	TD_92_short.contigs.assembly.bracken_G.txt_num	TD_92_short.contigs.assembly.bracken_G.txt_frac	TD_92_short.scaffolds.assembly.bracken_G.txt_num	TD_92_short.scaffolds.assembly.bracken_G.txt_frac
Collinsella	102106	G	0	0.00000	127	0.00672	125	0.00671	44	0.00426	44	0.00430	0	0.00000	0	0.00000	0	0.00000
Phocaeicola	909656	G	0	0.00000	99	0.00524	99	0.00532	55	0.00533	55	0.00538	0	0.00000	13	0.00125	13	0.00132
Parabacteroides	375288	G	0	0.00000	1232	0.06520	1226	0.06583	432	0.04183	426	0.04167	37	0.10482	235	0.02267	231	0.02344
Segatella	2974251	G	0	0.00000	217	0.01148	216	0.01160	10	0.00097	10	0.00098	0	0.00000	17	0.00164	17	0.00172
Prevotella	838	G	0	0.00000	22	0.00116	22	0.00118	16	0.00155	16	0.00156	0	0.00000	17	0.00164	17	0.00172
Alistipes	239759	G	0	0.00000	19	0.00101	17	0.00091	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacter	194	G	0	0.00000	68	0.00360	68	0.00365	87	0.00842	87	0.00851	0	0.00000	36	0.00347	35	0.00355
Fusobacterium	848	G	0	0.00000	16	0.00085	15	0.00081	20	0.00194	19	0.00186	0	0.00000	15	0.00145	15	0.00152
Methanobrevibacter	2172	G	0	0.00000	345	0.01826	345	0.01853	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methanosphaera	2316	G	0	0.00000	138	0.00730	138	0.00741	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Homo	9605	G	0	0.00000	296	0.01567	297	0.01595	331	0.03205	326	0.03189	0	0.00000	210	0.02026	211	0.02141
Carjivirus	2948652	G	0	0.00000	137	0.00725	134	0.00720	80	0.00775	80	0.00782	0	0.00000	0	0.00000	0	0.00000
